Subject,SID,Exclude,Age,ConditionOrder,Condition,Trial,FirstBag,FirstUtterance,SecondUtterance,Labeled Name,FirstBagLook,FirstChoice,SecondBagLook,FirstToyRemove,SecondToyRemove,LeftToy,RightToy,LeftToyTotalTime,RightToyTotalTime
79,042419_4,N,3.512328767,UIH,Interrupted,2,left,label,interrupted,jeeter,left,label,right,left,right,F,B,,
79,042419_4,N,3.512328767,UIH,Huh,3,right,label,huh,regli,left,huh,right,left,right,I,H,,
80,042619_1,N,4.591780822,UIH,Unknown,1,right,dont_know,label,jeeter,right,dont_know,left,right,null,F,G,,
80,042619_1,N,4.591780822,UIH,Interrupted,2,right,label,interrupted,collit,left,interrupted,null,left,null,B,A,,
80,042619_1,N,4.591780822,UIH,Huh,3,left,huh,label,gazzer,right,label,null,right,null,D,I,,
81,042619_2,N,3.030136986,IHU,Interrupted,1,left,label,interrupted,jeeter,left,label,right,left,right,A,E,,
81,042619_2,N,3.030136986,IHU,Huh,2,left,huh,label,collit,left,huh,right,left,right,B,G,,
81,042619_2,N,3.030136986,IHU,Unknown,3,right,label,dont_know,regli,left,dont_know,right,left,right,I,F,,
82,042619_3,Y: too young,2.997260274,,,,,,,,,,,,,,,,
83,042619_4,Y: parent interference,4.397260274,,,,,,,,,,,,,,,,
84,042619_5,Y: camera failure,,,,,,,,,,,,,,,,,
85,042619_6,N,5.221917808,IUH,Interrupted,1,left,interrupted,label,collit,right,label,left,right,left,H,F,,
85,042619_6,N,5.221917808,IUH,Unknown,2,left,label,dont_know,regli,right,dont_know,left,right,left,A,D,,
85,042619_6,N,5.221917808,IUH,Huh,3,right,label,huh,jeeter,left,huh,right,left,right,I,E,,
86,050319_1,N,5.063013699,UHI,Unknown,1,right,dont_know,label,stigson,left,label,right,left,right,H,E,,
86,050319_1,N,5.063013699,UHI,Huh,2,left,label,huh,jeeter,left,label,right,left,right,A,B,,
86,050319_1,N,5.063013699,UHI,Interrupted,3,right,label,interrupted,regli,right,label,left,right,left,G,I,,
87,050319_2,Y: too young,4.75890411,,,,,,,,,,,,,,,,
88,050319_3,Y: parent interference,,,,,,,,,,,,,,,,,
89,050319_4,N,4.934246575,IUH,Interrupted,1,right,interrupted,label,regli,right,interrupted,left,right,left,B,I,,
89,050319_4,N,4.934246575,IUH,Unknown,2,right,label,dont_know,gazzer,left,dont_know,right,left,right,F,A,,
89,050319_4,N,4.934246575,IUH,Huh,3,left,huh,label,manu,right,label,left,right,left,E,G,,
90,050819_1,N,5.02739726,HUI,Huh,1,right,label,huh,collit,right,label,left,left,null,F,H,,
90,050819_1,N,5.02739726,HUI,Unknown,2,left,dont_know,label,regli,right,label,left,null,null,A,D,,
